0.6,0.0108,0.0432,0.0408,0.0078,0.0108,0.012,0.0108,0.0066,0.0096,0.0282,0.0096,0.1206,0.1206,0.0096,0.0108,0.0084,0.0108,0.1182,0.012,
0.0216,0.6,0.0258,0.0216,0.0084,0.0258,0.0192,0.0216,0.0108,0.0192,0.0276,0.1284,0.0192,0.0192,0.0216,0.0234,0.0258,0.1284,0.0168,0.0168,
0.0336,0.0102,0.6,0.1782,0.0066,0.0084,0.0108,0.0114,0.0066,0.0066,0.0144,0.0114,0.0384,0.0384,0.0102,0.009,0.0072,0.009,0.1818,0.0072,
0.033,0.009,0.1872,0.6,0.0054,0.009,0.0096,0.0114,0.0078,0.0072,0.0156,0.0114,0.0348,0.0348,0.0078,0.0096,0.0072,0.0096,0.183,0.006,
0.039,0.0222,0.045,0.0336,0.6,0.0222,0.0336,0.0282,0.0222,0.0168,0.0282,0.039,0.0504,0.0504,0.0168,0.0282,0.0168,0.0336,0.039,0.0336,
0.0288,0.0342,0.0288,0.0288,0.0114,0.6,0.0258,0.0288,0.0144,0.0228,0.1398,0.0312,0.0288,0.0288,0.0258,0.0258,0.0228,0.0258,0.0258,0.0228,
0.0366,0.03,0.0438,0.0366,0.0204,0.03,0.6,0.0336,0.0168,0.027,0.0366,0.03,0.0468,0.0468,0.027,0.03,0.0204,0.027,0.03,0.03,
0.0294,0.0294,0.0408,0.0378,0.0144,0.0294,0.0294,0.6,0.0144,0.0264,0.0498,0.0498,0.0378,0.0378,0.0264,0.0438,0.0234,0.0234,0.0294,0.0264,
0.0366,0.0306,0.0486,0.0546,0.024,0.0306,0.0306,0.0306,0.6,0.024,0.0306,0.0306,0.0306,0.0306,0.024,0.0306,0.018,0.0306,0.0426,0.024,
0.0366,0.0366,0.0324,0.0324,0.012,0.0324,0.0324,0.0366,0.0162,0.6,0.0324,0.0408,0.0324,0.0324,0.0324,0.0408,0.0282,0.0408,0.0282,0.0246,
0.0516,0.0258,0.0336,0.036,0.0102,0.0972,0.0216,0.0336,0.0102,0.0156,0.6,0.0378,0.042,0.042,0.0156,0.0216,0.0258,0.0258,0.036,0.018,
0.0174,0.1146,0.027,0.0246,0.0132,0.021,0.0174,0.0324,0.0096,0.0192,0.0366,0.6,0.0228,0.0228,0.015,0.027,0.0246,0.1242,0.0132,0.0174,
0.0726,0.006,0.03,0.0258,0.006,0.0066,0.009,0.0084,0.003,0.0054,0.0138,0.0078,0.6,0.3012,0.0066,0.0072,0.0054,0.006,0.0738,0.006,
0.0726,0.006,0.03,0.0258,0.006,0.0066,0.009,0.0084,0.003,0.0054,0.0138,0.0078,0.3012,0.6,0.0066,0.0072,0.0054,0.006,0.0738,0.006,
0.0348,0.0384,0.0462,0.0348,0.0114,0.0348,0.0306,0.0348,0.0156,0.0306,0.0306,0.0306,0.0384,0.0384,0.6,0.0306,0.027,0.0348,0.0306,0.027,
0.0324,0.0354,0.0354,0.0354,0.0162,0.0288,0.0288,0.0486,0.0162,0.0324,0.0354,0.045,0.0354,0.0354,0.0258,0.6,0.0228,0.039,0.0258,0.0258,
0.0318,0.0474,0.0354,0.0318,0.012,0.0318,0.0234,0.0318,0.012,0.0276,0.0516,0.0516,0.0318,0.0318,0.0276,0.0276,0.6,0.0354,0.0318,0.0276,
0.0216,0.1296,0.024,0.024,0.0132,0.0192,0.0174,0.0174,0.0108,0.0216,0.0282,0.1404,0.0192,0.0192,0.0192,0.0258,0.0192,0.6,0.0174,0.0132,
0.0744,0.0054,0.1476,0.1416,0.0048,0.006,0.006,0.0066,0.0048,0.0048,0.012,0.0048,0.0768,0.0768,0.0054,0.0054,0.0054,0.0054,0.6,0.0054,
0.0444,0.0324,0.036,0.0282,0.024,0.0324,0.036,0.036,0.0162,0.024,0.036,0.036,0.036,0.036,0.0282,0.0324,0.0282,0.024,0.0324,0.6,
