1.0,0.079,0.2068,0.1984,0.0664,0.1154,0.0468,0.1154,0.0622,0.1112,
0.1102,1.0,0.1252,0.1102,0.0658,0.1616,0.0666,0.1466,0.0736,0.1394,
0.1096,0.0586,1.0,0.4288,0.0508,0.0914,0.024,0.0986,0.0508,0.0872,
0.1078,0.055,0.439,1.0,0.0478,0.0914,0.0204,0.0974,0.0532,0.0878,
0.1258,0.0874,0.1384,0.1132,1.0,0.1238,0.0768,0.1364,0.0874,0.1112,
0.1168,0.1324,0.1168,0.1168,0.0706,1.0,0.069,0.1568,0.0784,0.1418,
0.0804,0.066,0.0954,0.0804,0.0438,0.066,1.0,0.0732,0.0366,0.0588,
0.1096,0.1096,0.1378,0.1306,0.0748,0.1496,0.0696,1.0,0.0748,0.143,
0.1072,0.0952,0.1306,0.142,0.0832,0.1316,0.0588,0.1316,1.0,0.1196,
0.1216,0.1216,0.1126,0.1126,0.067,0.1526,0.0726,0.1616,0.0766,1.0,
